"","ParcelNo","SaleDate","SalePrice","TaxStatus","IsImproved","PermitIssued","BlightStatus","BlightNeighborCount","CrimeCount","BlightCount","Call311Count"
"37","16019231.","07/01/1971",14150,"TAXABLE","1",2016-03-30,"Blighted",0.0473887814313346,0.46176362971094,0.35370611183355,0.212317666126418
"38","20017647.","10/29/2015",6500,"TAXABLE","1",2016-03-30,"Blighted",0.621856866537718,0.27478960848884,0.122886866059818,0.0858995137763371
"39","20015960.","10/29/2015",3700,"TAXABLE","1",2016-03-30,"Blighted",0.511605415860735,0.237833882180754,0.0825747724317295,0.059967585089141
"40","20015420.","10/29/2015",6300,"TAXABLE","1",2016-03-30,"Blighted",0.541586073500967,0.241492864983535,0.0884265279583875,0.0648298217179903
"41","20016326.","10/29/2015",6900,"TAXABLE","1",2016-03-30,"Blighted",0.561895551257253,0.267105744603,0.111183355006502,0.0810372771474878
"42","20016371.","10/29/2015",6900,"TAXABLE","1",2016-03-30,"Blighted",0.551257253384913,0.269301134284669,0.115734720416125,0.0810372771474878
"43","20016278.","10/29/2015",6700,"TAXABLE","1",2016-03-30,"Blighted",0.55705996131528,0.262349066959385,0.100780234070221,0.0794165316045381
"44","20015414.","10/29/2015",7300,"TAXABLE","1",2016-03-30,"Blighted",0.5357833655706,0.237650933040615,0.0871261378413524,0.0648298217179903
"45","22018262-3","10/27/2004",33000,"TAXABLE","1",2016-03-30,"Blighted",0.176982591876209,0.350164654226125,0.301690507152146,0.235008103727715
"46","20014593.","12/01/1968",11900,"CITY LAND BANK","1",2016-03-30,"Blighted",0.200193423597679,0.0543358946212953,0.0149544863459038,0.00810372771474878
"47","21034880.","08/01/1995",28900,"COUNTY OWNED","1",2016-04-05,"Blighted",0.53384912959381,0.327113062568606,0.280884265279584,0.166936790923825
"48","22095707.","04/01/1997",82000,"COUNTY OWNED","1",2015-02-23,"Blighted",0.467117988394584,0.300219538968167,0.336150845253576,0.304700162074554
"49","22107659.","01/20/2011",29500,"CITY LAND BANK","0",2014-04-04,"Blighted",0.566731141199226,0.26344676180022,0.32184655396619,0.303079416531605
"50","21019334.","08/01/2005",53000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.682785299806576,0.201061105012806,0.403771131339402,0.252836304700162
"51","21034688.","02/01/1997",14250,"CITY LAND BANK","1",2016-04-05,"Blighted",0.638297872340426,0.354738382729601,0.302340702210663,0.188006482982172
"52","21035223.","02/07/2007",85897,"CITY LAND BANK","1",2016-04-05,"Blighted",0.515473887814313,0.32821075740944,0.273732119635891,0.163695299837925
"53","21035228.","01/16/2009",56779,"CITY LAND BANK","1",2016-04-05,"Blighted",0.520309477756286,0.329674350530552,0.275682704811443,0.165316045380875
"54","21035237.","05/18/2006",67000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.53384912959381,0.334431028174168,0.277633289986996,0.168557536466775
"55","21034714.","01/04/2011",500,"CITY LAND BANK","1",2016-04-05,"Blighted",0.568665377176016,0.338638858397366,0.288036410923277,0.173419773095624
"56","21004927.","02/13/2007",116000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.757253384912959,0.216977680204903,0.44668400520156,0.33387358184765
"57","14001571.001","08/01/1996",1100000,"TAXABLE","0",2013-10-16,"Blighted",0.401353965183752,0.59348701061105,0.488946684005202,0.413290113452188
"58","21005295.","04/16/2010",60000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.748549323017408,0.237285034760337,0.466189856957087,0.340356564019449
"59","21065378.","02/26/2010",2826,"CITY LAND BANK","1",2016-04-05,"Blighted",0.766924564796905,0.218258324185876,0.452535760728218,0.320907617504052
"60","21025550.","04/12/2011",7000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.32495164410058,0.154226125137212,0.275032509752926,0.179902755267423
"61","21065319.","12/22/2004",1e+05,"CITY LAND BANK","1",2016-04-05,"Blighted",0.694390715667311,0.197768020490304,0.427178153446034,0.299837925445705
"62","21019975.","01/17/2007",89068,"CITY LAND BANK","1",2016-04-05,"Blighted",0.607350096711799,0.1869740212221,0.388166449934981,0.247974068071313
"63","21022168.","07/27/2010",41336,"CITY LAND BANK","1",2016-04-05,"Blighted",0.563829787234043,0.179839004756678,0.363459037711313,0.226904376012966
"64","21070282.","11/22/2011",500,"CITY LAND BANK","1",2016-04-05,"Blighted",0.521276595744681,0.149286498353458,0.322496749024707,0.249594813614263
"65","21004917.","11/14/2008",18138,"CITY LAND BANK","1",2016-04-05,"Blighted",0.760154738878143,0.210025612879619,0.442782834850455,0.325769854132901
"66","21005350.","01/01/1990",20800,"CITY LAND BANK","1",2016-04-05,"Blighted",0.647001934235977,0.184778631540432,0.410273081924577,0.282009724473258
"67","21070521.","12/08/2006",126000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.640232108317215,0.184229784120015,0.40962288686606,0.280388978930308
"68","21005356.","10/06/2010",5000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.619922630560928,0.180204903036956,0.40702210663199,0.280388978930308
"69","21074522.","10/28/2009",10000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.425531914893617,0.15459202341749,0.349804941482445,0.239870340356564
"70","21074521.","02/05/2007",107000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.427466150870406,0.154226125137212,0.349804941482445,0.239870340356564
"71","21074482.006","04/01/1988",36500,"CITY LAND BANK","1",2016-04-05,"Blighted",0.380077369439072,0.140139041346506,0.326397919375813,0.228525121555916
"72","21018685.","",0,"CITY LAND BANK","1",2016-04-05,"Blighted",0.748549323017408,0.214050493962678,0.415474642392718,0.260940032414911
"73","21022145.","03/31/2011",3500,"CITY LAND BANK","1",2016-04-05,"Blighted",0.660541586073501,0.20032930845225,0.364109232769831,0.236628849270664
"74","21024245-6","06/19/2012",1000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.477756286266925,0.303695572630809,0.26853055916775,0.155591572123177
"75","21024288-9","06/27/2007",7000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.575435203094778,0.293633369923161,0.285435630689207,0.168557536466775
"76","21024554.","12/05/2006",15000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.5,0.170142700329308,0.321196358907672,0.194489465153971
"77","21034719.","03/22/2013",7000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.55705996131528,0.332235638492499,0.286736020806242,0.171799027552674
